Parcel,Property Address,Community Area,Type,Class,Land Code,Land Use,Acreage,Zoning,Bldg Count,Yr Blt,Improvement Use,Imp Area,Reception Number,Sale Date,Sale Price,Parcels Sold,Assessor Sale Comment
1300000076,3810 SENGBEIL RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,40.00,A-35,1,1980,FRAME LOW QUALITY,256,214094845,10/16/14,"34,750",1,Good sale; verified
1300000482,6455 S CALHAN HWY,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,35.15,A-35,1,1999,FRAME AVERAGE QUALITY,"2,052",214084128,9/15/14,"335,000",1,Good sale; verified
1300000521,3885 MULBERRY RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1113,RES LAND AT 29%,35.95,A-35,1,2009,BARN,960,214076473,8/22/14,"57,000",1,Good sale; verified
1300000616,18-13-61,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,82,AG. GRAZING LAND,158.32, , , , , ,214091714,10/7/14,"117,000",1,Good sale; verified; Vacant land
1400000477,2765 OLD WINDMILL VW,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,40.21,A-35,1,2004,FRAME AVERAGE QUALITY,"1,680",214089692,10/1/14,"165,000",1,"REO,Gvmt,FinInst,Short,PreFC"
1500000168,5875 S YODER RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,40.00,A-35,2,1996,FRAME AVERAGE QUALITY,"1,344",214080527,9/4/14,"175,000",1,Good sale; verified
1600000138,12895 S LAUPPE RD,FOXX VALLEY RANCH,RESIDENTIAL,Agricultural,81,AG. GRAZING LAND,39.42,A-35, , , , ,214075203,8/19/14,"35,000",1,Good sale; verified; Vacant land
1700000072,34-17-61,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,81,AG. GRAZING LAND,880.00, , , , , ,214097145,10/22/14,"249,000",1,Vacant land; Portion Land Combined/Split
1700000072,34-17-61,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,81,AG. GRAZING LAND,880.00, , , , , ,214097109,10/22/14,"25,000",1,Vacant land; Portion Land Combined/Split
2100000271,W RAMAH RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,85,AG. GRAZING LAND,280.00,A-35,1,1990,CATTLE SHED,288,214087246,9/24/14,"283,595",2,Multiple properties; Vacant land
2100000419,10-11-62,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,85,AG. GRAZING LAND,156.03,A-35, , , , ,214087246,9/24/14,"283,595",2,Multiple properties; Vacant land
2200000478,10770 GUTHRIE RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,84,AG. GRAZING LAND,40.00,A-35,3,2002,AG RESIDENCE AVG QUAL,"2,733",214076763,8/25/14,"295,000",1,Good sale; verified
2200000553,SOAP WEED RD,CALHAN,RESIDENTIAL,Vacant,550,VACANT LAND = 35 AND < 100 ACR,35.24,A-35, , , , ,214075466,8/20/14,"65,000",1,Good sale; verified; Vacant land
2200000554,SOAP WEED RD,CALHAN,RESIDENTIAL,Vacant,550,VACANT LAND = 35 AND < 100 ACR,35.00,A-35, , , , ,214078501,8/28/14,"65,000",1,Good sale; verified; Vacant land
2202200004,EIGHTH ST,CALHAN,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.08,UNZ, , , , ,214084205,9/16/14,"9,000",1,Good sale; verified; Vacant land
2207002001,13490 PALOMINO DR,EQUESTRIAN COUNTRY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.00,A-5,2,1995,FRAME AVERAGE QUALITY,"1,728",214087442,9/25/14,"136,000",1,Good sale; verified; Estate Sale
2218001014,12360 W RANGE VIEW DR,EQUESTRIAN COUNTRY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.82,RR-5,1,1979,FRAME AVERAGE QUALITY,"1,296",214090943,10/6/14,"115,000",1,"REO,Gvmt,FinInst,Short,PreFC"
2300000102,27176 BIG SPRINGS RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,84,AG. GRAZING LAND,120.00,A-35,4,1973,AG RESIDENCE AVG QUAL,"1,822",214098150,10/27/14,"380,000",1,Good sale; verified
2300000181,28030 BIG SPRINGS RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,40.00,A-35,2,2002,FRAME AVERAGE QUALITY,"1,718",214075239,8/19/14,"149,900",1,Good sale; verified
2300000356,8290 SOAP WEED RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,40.00,A-35,2,1998,FRAME AVERAGE QUALITY,"2,052",214071629,8/8/14,"199,000",1,"REO,Gvmt,FinInst,Short,PreFC"
2300000428,3659 N ELLICOTT HWY,ELLICOTT,RESIDENTIAL,Agricultural,84,AG. GRAZING LAND,134.97,A-35,3,1977,AG RESIDENCE GOOD QUAL,"2,392",214070312,8/5/14,"255,000",1,Family/In-House transfer
2400000197,3315 WIESNER RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1135,MOBILE ON OWNED LAND,36.16,A-35,6,1988,GARAGE BUILDING (PRIVATE),280,214095385,10/17/14,"95,000",1,Good sale; verified
2400000256,26705 SANBORN RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,83,AG. GRAZING LAND,35.16,A-35,2,2001,FRAME AVERAGE QUALITY,"1,216",214088725,9/29/14,"139,000",1,Good sale; verified
2429001006,25090 IMPALA CIR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.00,RR-5,1,1997,FRAME AVERAGE QUALITY,"1,484",214089417,10/1/14,"118,000",1,Good sale; verified
2429001018,2285 S EAST ELLICOTT RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.00,RR-5,1,1995,FRAME AVERAGE QUALITY,"1,272",214069037,8/1/14,"150,000",1,Good sale; verified
2430002020,1890 DOE TRL,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,7.80,A-5,2,1985,FRAME AVERAGE QUALITY,"1,344",214075948,8/21/14,"149,900",1,Good sale; verified
3114002008,21880 AKAWI WAY,RIVERS DIVIDE,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.01,RR-5,1,1999,FRAME GOOD QUALITY,"1,513",214070382,8/5/14,"240,000",1,Good sale; verified
3115003013,20380 WARRIORS PATH DR,RIVERS DIVIDE,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,9.66,RR-5,1,2006,FRAME AVERAGE QUALITY,"2,080",214088029,9/26/14,"440,000",1,Good sale; verified
3118002009,18255 PINON PARK RD,PEYTON PINES,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,5.00,RR-5, , , , ,214078898,8/29/14,"59,000",1,Good sale; verified; Vacant land
3118005012,18575 PINON PARK RD,PEYTON PINES,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,10.00,RR-5,1,2001,FRAME AVERAGE QUALITY,"2,089",214085298,9/18/14,"412,000",1,Good sale; verified
3132003001,15405 N PEYTON HWY,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,7.76,RR-5,3,1993,FRAME AVERAGE QUALITY,"1,848",214089765,10/1/14,"185,000",1,Good sale; verified
3133001012,14725 WAGON TRL,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,6.80,RR-5,1,2000,FRAME AVERAGE QUALITY,"1,344",214094424,10/15/14,"178,900",1,Good sale; verified
3133002007,15035 WAGON TRL,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,10.28,RR-5,3,1996,FRAME AVERAGE QUALITY,"1,080",214078680,8/29/14,"173,000",1,Good sale; verified
3200000303,11010 MCCLELLAND RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,40.00,A-35,2,2001,FRAME AVERAGE QUALITY,"4,000",214080146,9/3/14,"385,000",1,Good sale; verified
3200000623,19779 ELLIOTT VW,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,35.01,RR-5,2,2007,FRAME AVERAGE QUALITY,"1,827",214082724,9/10/14,"367,000",1,Good sale; verified
3201000007,23555 MURPHY RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.00,A-35,2,1984,FRAME AVERAGE QUALITY,"1,600",214082541,9/10/14,"234,900",1,Good sale; verified; Adjusted; may dif. w/doc fee
3206403003,13715 FRONT ST,PEYTON,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.24,A-35,1,1970,FRAME AVERAGE QUALITY,"1,085",214080897,9/4/14,"70,000",1,"REO,Gvmt,FinInst,Short,PreFC"
3207001001,12625 SAFE LANDING DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.78,A-5,3,1996,FRAME AVERAGE QUALITY,"2,128",214091689,10/7/14,"180,000",1,Good sale; verified
3207001002,12525 SAFE LANDING DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.97,A-5,1,1995,FRAME AVERAGE QUALITY,"1,454",214076893,8/25/14,"110,900",1,"REO,Gvmt,FinInst,Short,PreFC"
3300000093,21225 JUDGE ORR RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,540,VACANT LAND = 10 AND < 35 ACRS,20.00,A-35, , , , ,214075982,8/21/14,"60,000",1,Good sale; verified; Vacant land
3300000266,7545 LOG RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,40.00,A-35,6,1986,FRAME FAIR QUALITY,"1,288",214078330,8/28/14,"127,777",1,"REO,Gvmt,FinInst,Short,PreFC"
3300000487,20555 JUDGE ORR RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,84,AG. GRAZING LAND,37.58,PUD, , , , ,214069234,8/1/14,"62,000",1,Good sale; verified; Vacant land
3309002009,20650 OASIS AVE,OASIS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.00,RR-5,3,2003,FRAME AVERAGE QUALITY,120,214076182,8/21/14,"77,500",1,Good sale; verified
3309003007,7110 PYRAMID PL,OASIS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.00,RR-5,1,1998,FRAME AVERAGE QUALITY,"2,077",214078393,8/28/14,"184,900",1,Good sale; verified
3309003023,20555 OASIS AVE,OASIS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.02,RR-5,2,1994,FRAME AVERAGE QUALITY,"1,838",214069648,8/4/14,"111,800",1,"REO,Gvmt,FinInst,Short,PreFC"
3309004002,19870 OASIS AVE,OASIS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.01,RR-5,2,2000,FRAME AVERAGE QUALITY,"2,128",214088838,9/30/14,"129,000",1,"REO,Gvmt,FinInst,Short,PreFC"
3311002027,22045 OSTEEN CT,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.02,RR-5,1,2004,FRAME AVERAGE QUALITY,"2,166",214098162,10/27/14,"209,500",1,Good sale; verified
3400000281,1670 CENTENNIAL MESA VW,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,35.76,RR-5,2,2001,FRAME AVERAGE QUALITY,"2,967",214093853,10/14/14,"386,775",1,Estate Sale; Adjusted; may dif. w/doc fee
3407001022,870 ALLISON MESA VW,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,36.23,RR-5, , , , ,214081876,9/9/14,"35,000",1,"REO,Gvmt,FinInst,Short,PreFC; Vacant land"
3500000231,3855 BAR 10 RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,40.00,A-35,1,2002,FRAME AVERAGE QUALITY,"2,400",214091562,10/7/14,"307,000",1,Good sale; verified
3500000291,21170 DRENNAN RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,35.59,RR-5,3,2006,FRAME AVERAGE QUALITY,"1,873",214074368,8/18/14,"265,000",1,Good sale; verified
3519001001,6550 MILNE RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,5.82,RR-5, , , , ,214090636,10/3/14,"33,000",1,Good sale; verified; Vacant land
3600000027,19915 POWERS RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,20.00,RR-5,1,1999,FRAME AVERAGE QUALITY,"1,782",214077858,8/27/14,"50,000",1,"REO,Gvmt,FinInst,Short,PreFC"
3626001008,14330 WHISTLING HILLS LN,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,35.02,A-35,1,1996,FRAME AVERAGE QUALITY,"1,657",214077356,8/25/14,"148,000",1,Good sale; verified
4100000378,16360 MENA RANCH VW,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,550,VACANT LAND = 35 AND < 100 ACR,39.46,A-35, , , , ,214092781,10/10/14,"160,000",1,Family/In-House transfer; Vacant land
4100000408,EASTONVILLE RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,85,AG. GRAZING LAND,40.00,A-35, , , , ,214074910,8/19/14,"137,500",1,Good sale; verified; Vacant land
4100000414,EVANS RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,550,VACANT LAND = 35 AND < 100 ACR,39.43, , , , , ,214089301,9/30/14,"163,350",1,Good sale; verified; Vacant land
4119002015,12570 OLD BARN RD,EASTONVILLE,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.38,RR-5,1,1995,FRAME AVERAGE QUALITY,"1,610",214100066,10/30/14,"409,000",1,Good sale; verified
4119002025,12305 OLD BARN RD,EASTONVILLE,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.23,RR-5,1,1995,FRAME AVERAGE QUALITY,"1,376",214094760,10/16/14,"286,112",1,Good sale; verified
4124001027,16850 BRADSHAW RD,TAKORIA ESTATES,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,7.70,RR-5,2,1972,FRAME AVERAGE QUALITY,"1,792",214091520,10/7/14,"310,000",1,Good sale; verified
4125002016,16445 GOLLIHAR RD,TAKORIA ESTATES,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.00,RR-5,1,2005,FRAME GOOD QUALITY,"2,252",214074156,8/15/14,"465,000",1,Good sale; verified; Changes not yet assessed
4126003006,16680 SWEET RD,TAKORIA ESTATES,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.00,RR-5,2,1997,FRAME AVERAGE QUALITY,"1,620",214093652,10/14/14,"237,000",1,Good sale; verified
4127001023,15730 VALDEZ CIR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.01,RR-5,2,1984,FRAME AVERAGE QUALITY,864,214099337,10/29/14,"245,000",1,Good sale; verified
4127002008,15535 ALTA PLZ,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,5.03,RR-5, , , , ,214076273,8/21/14,"36,900",1,Good sale; verified; Vacant land
4130002018,16305 N MERIDIAN RD,EASTONVILLE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,5.02,RR-5, , , , ,214098923,10/28/14,"75,000",1,Good sale; verified; Vacant land
4130002030,16070 BUGGYWHIP DR,EASTONVILLE,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.02,RR-5,1,1977,FRAME GOOD QUALITY,"1,462",214094007,10/14/14,"305,000",1,Good sale; verified
4130003070,15780 TEAK PL,EASTONVILLE,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.01,RR-5,1,1984,FRAME AVERAGE QUALITY,"1,515",214089721,10/1/14,"329,900",1,Good sale; verified
4131004010,12030 WOODLAKE RD,EASTONVILLE,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.02,RR-5,3,1987,FRAME AVERAGE QUALITY,"1,232",214073903,8/15/14,"280,000",1,Good sale; verified
4131006005,12445 WOODLAKE RD,EASTONVILLE,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.02,RR-5,1,1999,FRAME AVERAGE QUALITY,"1,690",214076122,8/21/14,"339,000",1,Good sale; verified; Adjusted; may dif. w/doc fee
4131006035,12153 WELLWOOD CT,EASTONVILLE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,5.02,RR-5, , , , ,214078761,8/29/14,"121,000",1,Good sale; verified; Vacant land
4131011026,15430 SPIRITWOOD LOOP,EASTONVILLE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,2.51,RR-2.5, , , , ,214089252,9/30/14,"107,000",1,Good sale; verified; Vacant land
4132003017,15354 BUCK CREEK RD,EASTONVILLE,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,60.05,RR-5,2,2004,FRAME GOOD QUALITY,"2,574",214080863,9/4/14,"149,900",1,Vacant land; Portion Land Combined/Split
4200000400,20-12-64,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1199,HOMEOWNERS ASSOCIATION,222.43, , , , , ,214086512,9/23/14,"700,000",1,Family/In-House transfer; Vacant land
4200000403,19-12-64,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,550,VACANT LAND = 35 AND < 100 ACR,46.63, , , , , ,214086509,9/23/14,"5,077,000",2,Multiple properties; Vacant land
4204000002,14291 MURPHY RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,16.42,A-35,2,1969,FRAME FAIR QUALITY,572,214073178,8/13/14,"134,000",1,Good sale; verified
4205001024,13125 KENEDO CIR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.25,RR-5,1,1996,FRAME GOOD QUALITY,"1,440",214080531,9/4/14,"402,000",1,Good sale; verified
4206002008,12530 KENEDO CIR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.64,RR-5,1,1995,FRAME GOOD QUALITY,"1,304",214098643,10/28/14,"436,500",1,Good sale; verified
4208005022,13395 PAWNEE TRAIL CT,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,2.72,RR-2.5,1,1987,FRAME AVERAGE QUALITY,946,214079882,9/2/14,"290,000",1,Good sale; verified
4213001020,11920 TRACY LN,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.04,RR-5,2,1990,Sheds/Miscl,192,214070182,8/5/14,"132,500",1,Good sale; verified
4213002033,17466 BLUE LAKE LN,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,6.96,RR-5,1,2002,FRAME AVERAGE QUALITY,"1,364",214093567,10/14/14,"220,000",1,Good sale; verified
4217001020,11950 S CONESTOGA TRL,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,2.50,RR-2.5,1,2013,FRAME GOOD QUALITY,"2,064",214087867,9/26/14,"422,900",1,Good sale; verified; Partial assessment Jan. 1
4217002012,12440 LONESOME PINE TRL,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,2.61,RR-2.5,1,1999,FRAME GOOD QUALITY,"2,734",214096773,10/22/14,"412,500",1,Good sale; verified
4217003009,13510 BUFFALO RIVER TRL,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,2.52,RR-2.5, , , , ,214089265,9/30/14,"55,000",1,Good sale; verified; Vacant land
4217005023,12255 N CONESTOGA TRL,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,2.88,RR-2.5,1,2002,FRAME AVERAGE QUALITY,"1,136",214088592,9/29/14,"348,000",1,Good sale; verified
4218001002,11954 BROKEN ANTLER CT,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,2.50,RR-2.5, , , , ,214073125,8/13/14,"382,102",1,Good sale; verified
4218002001,12430 SMOKE BLUFFS RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,2.51,RR-2.5,1,2012,FRAME AVERAGE QUALITY,"1,625",214069538,8/4/14,"320,000",1,Good sale; verified
4218002002,12370 SMOKE BLUFFS RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,2.51,RR-2.5, , , , ,214100293,10/31/14,"366,214",1,Good sale; verified
4218002004,12250 SMOKE BLUFFS RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,2.51,RR-2.5, , , , ,214097007,10/22/14,"408,376",1,Good sale; verified
4218003002,12105 ANTLERS RIDGE DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,2.53,RR-2.5,1,2012,FRAME GOOD QUALITY,"1,598",214084280,9/16/14,"470,000",1,Good sale; verified
4218003007,11626 DENALI TRL,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,2.50,RR-2.5, , , , ,214094417,10/15/14,"72,000",1,Good sale; verified; Vacant land
4218003019,11985 ANTLERS RIDGE DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,2.50,RR-2.5, , , , ,214071162,8/7/14,"354,473",1,Good sale; verified
4219301028,10690 PICTURED ROCKS DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.63,PUD,1,2005,FRAME GOOD QUALITY,"1,641",214076659,8/22/14,"434,000",1,Good sale; verified
4219302025,10785 GREENBELT DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.28,PUD, , , , ,214072179,8/11/14,"86,700",1,Good sale; verified; Vacant land
4219302071,12565 ANGELINA DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.33,PUD, , , , ,214072958,8/13/14,"385,569",1,Good sale; verified
4219303002,11027 GLEN CANYON DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.31,PUD, , , , ,214071149,8/7/14,"233,560",4,Multiple properties; Vacant land
